,group1,group2,group_names,diet_names,dietCal,colors,xrange,outliers,errorbars,mri,light,exc,Total.Mass,Lean.Mass,Fat.Mass,id
1,1_D3,1_D1,LFD,ResearchDiet 10 kcal% Fat 35% sucrose 3.82kcal/g,3.82,#000000,21,No,Yes,Yes,6,96,42.48,24.34,15.86,1_D1
2,1_D5,1_D2,HFD,ResearchDiet 60 kcal% Fat 5.21kcal/g,5.21,#CC79A7,93,NA,NA,,18,96,39.68,23.45,14.41,1_D2
3,1_D7,1_D4,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,30.03,23.43,4.29,1_D3
4,1_D8,1_D9,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,39.23,22.51,14.48,1_D4
5,2_D10,2_D14,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,34.13,22.74,8.73,1_D5
6,2_D11,2_D15,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,28.88,21.78,4.5,1_D7
7,2_D12,2_D16,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,26.87,21.75,3.24,1_D8
8,2_D13,2_D17,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,44.09,24.49,17.7,1_D9
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,26.26,21.09,3.15,2_D10
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,31.22,22.56,6.66,2_D11
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,29.33,22.12,5.35,2_D12
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,28.18,21.17,5.01,2_D13
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,43.22,24.65,16.5,2_D14
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,35.62,21.36,12.28,2_D15
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,35.86,24.23,9.91,2_D16
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,36.72,21.95,12.93,2_D17
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
